%Automatically built ARFF-file
%Feature sets: ['max_sentiment', 'min_sentiment', 'avg_sentiment_no_neutral', 'baseline', 'avg_sentiment_no_neutral_unigrams']
@RELATION sentiment

@ATTRIBUTE avg_sentiment_no_neutral NUMERIC
@ATTRIBUTE avg_sentiment_no_neutral_unigrams NUMERIC
@ATTRIBUTE baseline NUMERIC
@ATTRIBUTE max_sentiment NUMERIC
@ATTRIBUTE min_sentiment NUMERIC
@ATTRIBUTE sentiment {"-", "+"}

@DATA
?,0.643516666667,0.512345555556,0.5,0.5,"+"
0.88889,0.45,0.517642432432,0.88889,0.5,"+"
0.63889,0.63426,0.516738205128,0.63889,0.5,"+"
?,0.587963333333,0.517544210526,0.5,0.41667,"+"
?,0.83333,0.54861125,0.5,0.5,"+"
?,0.55972,0.521266875,0.52778,0.5,"+"
0.72222,0.73611,0.53346,0.72222,0.5,"+"
0.66667,0.574076666667,0.520833888889,0.66667,0.5,"+"
0.75,0.86111,0.540123333333,0.75,0.5,"+"
?,0.68056,0.527778571429,0.5,0.5,"+"
0.80556,0.753967142857,0.607252777778,0.80556,0.5,"+"
0.69444,0.36111,0.49594875,0.69444,0.5,"-"
?,?,0.509921428571,0.5,0.44444,"+"
?,0.665278,0.53215037037,0.56944,0.5,"-"
?,0.800926666667,0.568518666667,0.5,0.5,"+"
?,0.675,0.539855217391,0.5,0.5,"+"
?,0.453703333333,0.500579166667,0.5,0.5,"+"
?,0.6354175,0.532894736842,0.5,0.5,"-"
?,0.65278,0.521825714286,0.55556,0.5,"+"
0.625,0.631945,0.538889333333,0.625,0.5,"+"
?,0.88889,0.578705,0.5,0.5,"+"
?,0.462963333333,0.494281176471,0.5,0.5,"+"
?,?,0.505556,0.5,0.5,"+"
?,0.736115,0.525585263158,0.5,0.5,"+"
?,0.580554,0.52,0.5,0.5,"+"
?,0.75,0.52,0.5,0.5,"+"
?,0.76389,0.566666,0.5,0.5,"+"
?,?,0.515046666667,0.5,0.5,"+"
?,0.550926666667,0.507663448276,0.5,0.5,"+"
?,0.70833,0.517857142857,0.5,0.5,"-"
?,0.63889,0.508333333333,0.5,0.5,"+"
?,0.64583375,0.531695384615,0.5,0.5,"+"
?,0.3338892,0.4694444,0.56944,0.5,"+"
?,0.34722,0.497222666667,0.5,0.48611,"+"
?,0.680555,0.52864625,0.56944,0.5,"+"
?,0.560186666667,0.508333666667,0.5,0.5,"+"
0.83333,0.71528,0.52170125,0.83333,0.5,"+"
0.69444,0.70833,0.529761428571,0.69444,0.5,"+"
?,0.36111,0.502946363636,0.5,0.5,"+"
0.639847931034,0.580556,0.516612352941,0.66667,0.63889,"+"
?,0.61111,0.5125,0.5,0.5,"+"
?,0.666665,0.541666666667,0.51389,0.5,"+"
?,0.45833,0.494152105263,0.5,0.5,"-"
?,0.645835,0.520062222222,0.5,0.5,"+"
?,0.38889,0.499465384615,0.56944,0.5,"+"
0.33333,0.31944,0.495248684211,0.5,0.33333,"-"
?,0.854165,0.542361,0.5,0.5,"+"
?,?,0.496732352941,0.5,0.5,"+"
0.23611,0.508334,0.507936190476,0.5,0.23611,"-"
?,0.496296666667,0.528473,0.5,0.5,"+"
0.76389,0.587963333333,0.511218076923,0.76389,0.5,"+"
?,0.746032857143,0.552778,0.5,0.5,"+"
?,0.48312,0.5091672,0.5,0.5,"+"
?,0.791665,0.520634857143,0.5,0.5,"+"
0.81944,0.474205714286,0.504480645161,0.81944,0.5,"+"
?,0.568888,0.502976190476,0.55556,0.5,"+"
?,0.6666675,0.516292884615,0.5,0.5,"+"
0.73611,0.76389,0.542201538462,0.73611,0.5,"+"
0.72222,0.609127142857,0.5305556,0.72222,0.5,"+"
?,0.63889,0.52053173913,0.5,0.5,"+"
?,0.458335,0.4965275,0.5,0.5,"-"
0.65278,0.5833325,0.52257,0.65278,0.5,"+"
0.33333,0.533334,0.516667,0.5,0.33333,"+"
0.84722,0.62963,0.535186,0.84722,0.5,"+"
?,0.5,0.500992857143,0.5,0.5,"-"
?,0.680555,0.524123157895,0.5,0.5,"-"
0.84722,0.80556,0.544643571429,0.84722,0.5,"+"
?,?,0.509616153846,0.5,0.5,"+"
