%Automatically built ARFF-file
%Feature sets: ['avg_sentiment_no_neutral', 'min_sentiment', 'max_sentiment']
@RELATION sentiment

@ATTRIBUTE avg_sentiment_no_neutral NUMERIC
@ATTRIBUTE max_sentiment NUMERIC
@ATTRIBUTE min_sentiment NUMERIC
@ATTRIBUTE sentiment {"--", "-", "0", "+", "++"}

@DATA
0.73611,0.81944,0.5,"+"
0.722222,0.88889,0.5,"++"
0.566668,0.63889,0.5,"+"
0.512348888889,0.44444,0.41667,"0"
0.72222,0.70833,0.5,"+"
0.770835,0.65278,0.52778,"++"
0.72395875,0.77778,0.72222,"++"
0.674078,0.77778,0.66667,"+"
0.75,0.75,0.5,"++"
0.73611,0.75,0.5,"+"
0.842593333333,0.875,0.80556,"++"
0.627774,0.69444,0.27778,"0"
0.80556,0.5,0.44444,"++"
0.702016363636,0.56944,0.5,"0"
0.807691538462,0.80556,0.5,"++"
0.675925555556,0.52778,0.5,"+"
0.26389,0.5,0.43056,"+"
0.23611,0.5,0.23611,"0"
0.81944,0.55556,0.5,"++"
0.672617142857,0.66667,0.625,"+"
0.81944,0.81944,0.5,"++"
0.31944,0.75,0.5,"+"
0.68056,0.68056,0.5,"0"
0.708333333333,0.84722,0.5,"++"
?,0.55556,0.5,"0"
?,0.52778,0.5,"0"
0.94444,0.77778,0.5,"++"
0.77778,0.77778,0.5,"+"
0.66667,0.88889,0.5,"++"
0.33333,0.5,0.43056,"-"
0.7037,0.88889,0.5,"++"
0.703705,0.65278,0.5,"+"
0.475695,0.56944,0.5,"0"
0.70833,0.70833,0.48611,"+"
0.77778,0.73611,0.56944,"++"
0.629085294118,0.72222,0.5,"+"
0.777775714286,0.83333,0.63889,"+"
0.72222,0.69444,0.5,"+"
0.376735,0.5,0.5,"0"
0.61111,0.70833,0.63889,"+"
0.75,0.75,0.5,"+"
0.68056,0.80556,0.51389,"++"
0.33333,0.5,0.48611,"0"
0.61111,0.73611,0.5,"+"
0.66667,0.56944,0.375,"0"
0.250003333333,0.5,0.33333,"--"
0.84722,0.69444,0.5,"+"
0.516973333333,0.5,0.375,"+"
0.33333,0.5,0.23611,"-"
0.825398571429,0.93056,0.5,"++"
0.769838571429,0.76389,0.5,"+"
0.664682857143,0.75,0.5,"++"
0.44826375,0.55556,0.5,"+"
0.569445,0.875,0.5,"++"
0.539682857143,0.81944,0.5,"++"
0.677249047619,0.88889,0.55556,"++"
0.671715454545,0.88889,0.5,"++"
0.603395,0.79167,0.73611,"+"
0.759259166667,0.72222,0.5,"+"
0.67172,0.69444,0.5,"+"
0.31944,0.65278,0.5,"0"
0.790593846154,0.65278,0.5,"+"
0.629632222222,0.69444,0.33333,"+"
0.754273846154,0.84722,0.5,"+"
?,0.5,0.44444,"-"
0.625,0.54167,0.47222,"-"
0.825858461538,0.84722,0.5,"++"
?,0.65278,0.5,"+"
0.11111,0.79167,0.5,"++"
0.631313636364,0.69444,0.63889,"++"
0.72222,0.72222,0.58333,"+"
0.472225333333,0.55556,0.375,"0"
0.36111,0.5,0.27778,"-"
0.746914444444,0.68056,0.68056,"+"
0.63889,0.90278,0.5,"0"
0.61111,0.61111,0.5,"0"
?,0.5,0.5,"+"
0.93056,0.93056,0.5,"++"
0.84722,0.75,0.5,"++"
0.749997272727,0.86111,0.70833,"++"
0.62847375,0.72222,0.625,"++"
?,0.72222,0.66667,"+"
0.580176363636,0.66667,0.29167,"0"
0.719135555556,0.63889,0.5,"++"
0.72222,0.81944,0.63889,"+"
0.821428571429,0.80556,0.5,"+"
0.94444,0.94444,0.59722,"++"
0.98611,0.90278,0.5,"++"
?,0.73611,0.5,"+"
0.68056,0.72222,0.5,"++"
?,0.84722,0.5,"+"
0.72222,0.65278,0.5,"+"
0.567956785714,0.80556,0.33333,"-"
0.757937142857,0.91667,0.5,"++"
0.83333,0.76389,0.5,"+"
0.599070666667,0.59722,0.58333,"+"
0.76736,0.875,0.55556,"++"
0.625,0.55556,0.5,"+"
0.678031818182,0.73611,0.5,"+"
0.424384444444,0.75,0.45833,"++"
0.66667,0.55556,0.5,"+"
0.731060909091,0.83333,0.66667,"++"
0.27778,0.79167,0.5,"+"
0.61111,0.55556,0.5,"+"
?,0.77778,0.52778,"+"
0.81944,0.77778,0.72222,"++"
0.61111,0.81944,0.5,"+"
?,0.65278,0.45833,"+"
0.61111,0.72222,0.5,"+"
0.63889,0.70833,0.5,"+"
0.782682352941,0.90278,0.66667,"+"
0.91667,0.875,0.5,"+"
0.83333,0.83333,0.5,"+"
0.778843076923,0.875,0.5,"++"
0.483660588235,0.44444,0.38889,"+"
0.632479230769,0.73611,0.5,"+"
0.588621428571,0.83333,0.69444,"++"
0.83333,0.83333,0.58333,"++"
0.67361,0.72222,0.44444,"+"
0.76389,0.76389,0.55556,"+"
0.56349,0.54167,0.5,"+"
0.658336,0.93056,0.5,"0"
0.61111,0.61111,0.45833,"+"
?,0.51389,0.5,"0"
0.676393,0.63889,0.5,"+"
?,0.65278,0.52778,"+"
0.532406666667,0.51389,0.31944,"+"
0.67534875,0.875,0.5,"++"
0.23611,0.875,0.5,"-"
0.75,0.56944,0.5,"0"
?,0.51389,0.44444,"0"
0.25,0.5,0.43056,"0"
0.618686363636,0.56944,0.5,"++"
0.743055,0.83333,0.5,"+"
0.33333,0.81944,0.33333,"+"
0.73611,0.94444,0.5,"+"
0.720836,0.80556,0.5,"+"
0.81944,0.81944,0.54167,"0"
0.97222,0.83333,0.5,"++"
0.80556,0.80556,0.61111,"++"
0.655552666667,0.625,0.59722,"+"
0.877525454545,0.73611,0.5,"++"
